month_year,Total_Bookings
2016-01,136
2016-02,218
2016-03,338
2016-04,248
2016-05,129
2016-06,157
2016-07,331
2016-08,138
2016-09,199
2016-10,358
2016-11,204
2016-12,344
2017-01,355
2017-02,309
2017-03,191
2017-04,311
2017-05,167
2017-06,191
2017-07,90
2017-08,136
2017-09,79
2017-10,183
2017-11,153
2017-12,121
2018-01,40
2018-02,61
2018-03,113
2018-04,185
2018-05,111
2018-06,77
2018-07,90
2018-08,104
2018-09,88
2018-10,147
2018-11,139
2018-12,52
2019-01,120
2019-02,95
2019-03,117
