Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
AUSVZ,1/11/2018,6,Confirmed,2,2018,1,,,AUSVZ
WDCDP,1/11/2018,9,Confirmed,2,2018,1,,,WDCDP
SBAGG,1/11/2018,1,Confirmed,2,2018,1,,,SBAGG
SABCN,1/11/2018,3,Confirmed,2,2018,1,,,SABCN
SABCN,1/11/2018,1,Cancelled,2,2018,1,,,PHXPX
PHXPX,1/11/2018,5,Confirmed,2,2018,1,,,PDXPM
PDXPM,1/12/2018,11,Confirmed,2,2018,1,,,CLTKM
CLTKM,1/12/2018,13,Confirmed,2,2018,1,,,MIAEP
MIAEP,1/11/2018,9,Confirmed,2,2018,1,,,NTCME
NTCME,1/11/2018,16,Cancelled,2,2018,1,,,PDXVP
PDXPM,1/13/2018,17,Cancelled,2,2018,1,,,PITHM
PDXPM,1/11/2018,8,Confirmed,2,2018,1,,,PHLPP
PDXPM,1/13/2018,31,Confirmed,2,2018,1,,,ORDTG
PDXVP,1/13/2018,39,Confirmed,2,2018,1,,,ORDAL
PITHM,1/12/2018,3,Confirmed,2,2018,1,,,WDCDV
PHLPP,1/11/2018,2,Cancelled,2,2018,1,,,WDCHG
PHLPP,1/12/2018,2,Confirmed,2,2018,1,,,WDCMO
ORDTG,1/13/2018,6,Confirmed,2,2018,1,,,WDCPA
ORDAL,1/12/2018,26,Confirmed,2,2018,1,,,WDCRG
PITHM,1/13/2018,75,Confirmed,2,2018,1,,,WDCTP
ORDAL,1/11/2018,13,Confirmed,2,2018,1,,,SLCSL
SBAGG,1/13/2018,3,Cancelled,2,2018,1,,,SANPR
WDCDP,1/13/2018,84,Confirmed,2,2018,1,,,SANSO
WDCDV,1/11/2018,2,Confirmed,2,2018,1,,,SEASM
WDCHG,1/12/2018,3,Confirmed,2,2018,1,,,SEAVP
WDCMO,1/11/2018,2,Confirmed,2,2018,1,,,MIAVB
WDCMO,1/12/2018,3,Confirmed,2,2018,1,,,MSPGR
WDCMO,1/13/2018,38,Confirmed,2,2018,1,,,LAXSB
WDCPA,1/12/2018,2,Confirmed,2,2018,1,,,INTCH
WDCRG,1/13/2018,18,Confirmed,2,2018,1,,,BALMN
WDCTP,1/11/2018,3,Confirmed,2,2018,1,,,BOSNZ
WDCMO,1/12/2018,3,Cancelled,2,2018,1,,,LAXGY
PITHM,1/13/2018,35,Cancelled,2,2018,1,,,BOSOX
SLCSL,1/13/2018,56,Confirmed,2,2018,1,,,DENDM
SLCSL,1/12/2018,4,Confirmed,2,2018,1,,,SEAAX
SANPR,1/12/2018,9,Cancelled,2,2018,1,,,SMFKG
SANSO,1/13/2018,33,Confirmed,2,2018,1,,,WDCRO
SBAGG,1/13/2018,4,Confirmed,2,2018,1,,,WDCSV
