,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
0,AUSVZ,2018-01-11,6,Confirmed,2,2018
1,WDCDP,2018-01-11,9,Confirmed,2,2018
2,SBAGG,2018-01-11,1,Confirmed,2,2018
3,SABCN,2018-01-11,3,Confirmed,2,2018
5,SABCN,2018-01-11,1,Cancelled,2,2018
6,PHXPX,2018-01-11,5,Confirmed,2,2018
14,PDXPM,2018-01-12,11,Confirmed,2,2018
17,CLTKM,2018-01-12,13,Confirmed,2,2018
18,MIAEP,2018-01-11,9,Confirmed,2,2018
19,NTCME,2018-01-11,16,Cancelled,2,2018
28,PDXPM,2018-01-13,17,Cancelled,2,2018
29,PDXPM,2018-01-11,8,Confirmed,2,2018
30,PDXPM,2018-01-13,31,Confirmed,2,2018
33,PDXVP,2018-01-13,39,Confirmed,2,2018
34,PITHM,2018-01-12,3,Confirmed,2,2018
36,PHLPP,2018-01-11,2,Cancelled,2,2018
37,PHLPP,2018-01-12,2,Confirmed,2,2018
40,ORDTG,2018-01-13,6,Confirmed,2,2018
42,ORDAL,2018-01-12,26,Confirmed,2,2018
47,PITHM,2018-01-13,75,Confirmed,2,2018
57,ORDAL,2018-01-11,13,Confirmed,2,2018
61,SBAGG,2018-01-13,3,Cancelled,2,2018
63,WDCDP,2018-01-13,84,Confirmed,2,2018
64,WDCDV,2018-01-11,2,Confirmed,2,2018
65,WDCHG,2018-01-12,3,Confirmed,2,2018
68,WDCMO,2018-01-11,2,Confirmed,2,2018
70,WDCMO,2018-01-12,3,Confirmed,2,2018
71,WDCMO,2018-01-13,38,Confirmed,2,2018
73,WDCPA,2018-01-12,2,Confirmed,2,2018
75,WDCRG,2018-01-13,18,Confirmed,2,2018
76,WDCTP,2018-01-11,3,Confirmed,2,2018
77,WDCMO,2018-01-12,3,Cancelled,2,2018
78,PITHM,2018-01-13,35,Cancelled,2,2018
79,SLCSL,2018-01-13,56,Confirmed,2,2018
80,SLCSL,2018-01-12,4,Confirmed,2,2018
86,SANPR,2018-01-12,9,Cancelled,2,2018
88,SANSO,2018-01-13,33,Confirmed,2,2018
90,SBAGG,2018-01-13,4,Confirmed,2,2018
93,SEASM,2018-01-13,8,Confirmed,2,2018
94,SEAVP,2018-01-13,10,Confirmed,2,2018
97,PHLPP,2018-01-13,3,Confirmed,2,2018
109,MIAEP,2018-01-11,3,Cancelled,2,2018
111,MIAEP,2018-01-12,5,Cancelled,2,2018
112,MIAVB,2018-01-13,24,Confirmed,2,2018
114,MSPGR,2018-01-12,24,Confirmed,2,2018
115,LAXSB,2018-01-12,3,Cancelled,2,2018
116,INTCH,2018-01-12,3,Confirmed,2,2018
119,BALMN,2018-01-12,31,Cancelled,2,2018
120,BALMN,2018-01-12,18,Confirmed,2,2018
121,BALMN,2018-01-13,2,Confirmed,2,2018
122,BOSNZ,2018-01-13,24,Confirmed,2,2018
123,LAXGY,2018-01-12,1,Confirmed,2,2018
124,BOSOX,2018-01-11,2,Confirmed,2,2018
127,CLTKM,2018-01-13,12,Confirmed,2,2018
129,DENDM,2018-01-12,6,Confirmed,2,2018
130,DENDM,2018-01-13,32,Confirmed,2,2018
131,CLTKM,2018-01-11,6,Confirmed,2,2018
134,NTCME,2018-01-11,10,Confirmed,2,2018
135,NTCME,2018-01-12,18,Cancelled,2,2018
136,NTCME,2018-01-12,8,Confirmed,2,2018
170,SBAGG,2018-01-12,1,Confirmed,2,2018
172,SEAAX,2018-01-12,3,Confirmed,2,2018
173,SEAAX,2018-01-13,4,Confirmed,2,2018
181,SMFKG,2018-01-11,2,Cancelled,2,2018
182,SMFKG,2018-01-11,2,Confirmed,2,2018
183,SMFKG,2018-01-13,18,Confirmed,2,2018
189,SANPR,2018-01-11,10,Confirmed,2,2018
210,WDCDP,2018-01-11,6,Cancelled,2,2018
211,WDCRO,2018-01-13,14,Confirmed,2,2018
213,WDCPA,2018-01-13,22,Confirmed,2,2018
214,WDCRG,2018-01-11,2,Confirmed,2,2018
215,WDCRG,2018-01-11,3,Cancelled,2,2018
216,WDCRG,2018-01-12,2,Confirmed,2,2018
220,WDCRO,2018-01-11,3,Cancelled,2,2018
223,WDCSV,2018-01-11,2,Confirmed,2,2018
224,WDCSV,2018-01-13,4,Confirmed,2,2018
227,WDCTP,2018-01-11,1,Cancelled,2,2018
228,WDCTP,2018-01-13,34,Confirmed,2,2018
232,WDCPA,2018-01-11,2,Cancelled,2,2018
238,WDCDP,2018-01-13,51,Cancelled,2,2018
242,WDCDV,2018-01-12,6,Confirmed,2,2018
245,WDCDV,2018-01-13,2,Confirmed,2,2018
246,WDCDV,2018-01-14,3,Confirmed,2,2018
251,WDCLR,2018-01-13,7,Confirmed,2,2018
261,DENDM,2018-01-14,2,Confirmed,2,2018
262,INTCH,2018-01-11,2,Cancelled,2,2018
