,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
7,NYCIK,2018-01-11,70,Cancelled,2,2018
27,NYCIK,2018-01-11,40,Confirmed,2,2018
43,NYCIK,2018-01-12,11,Cancelled,2,2018
99,LAXWP,2018-01-12,6,Confirmed,2,2018
101,LAXWP,2018-01-13,57,Confirmed,2,2018
177,SFODR,2018-01-13,150,Confirmed,2,2018
273,LAXWP,2018-01-13,41,Cancelled,2,2018
325,NYCIK,2018-01-13,3,Confirmed,2,2018
418,SFODR,2018-01-12,2,Confirmed,2,2018
432,LAXWP,2018-01-14,5,Confirmed,2,2018
477,NYCIK,2018-01-14,10,Cancelled,2,2018
504,SFODR,2018-01-16,4,Confirmed,3,2018
591,LAXWP,2018-01-15,2,Confirmed,3,2018
606,NYCIK,2018-01-15,56,Cancelled,3,2018
640,NYCIK,2018-01-16,39,Cancelled,3,2018
711,LAXWP,2018-01-16,4,Cancelled,3,2018
863,SFODR,2018-01-11,4,Confirmed,2,2018
895,LAXWP,2018-01-17,2,Confirmed,3,2018
896,LAXWP,2018-01-17,3,Cancelled,3,2018
938,NYCIK,2018-01-12,2,Confirmed,2,2018
1066,SFODR,2018-01-17,1,Confirmed,3,2018
1089,LAXWP,2018-01-18,1,Confirmed,3,2018
1117,MIASS,2018-01-16,1,Confirmed,3,2018
1135,MIASS,2018-01-12,2,Cancelled,2,2018
1147,MIASS,2018-01-18,2,Confirmed,3,2018
1255,SFODR,2018-01-19,8,Confirmed,3,2018
1257,SFODR,2018-01-20,4,Cancelled,3,2018
1360,NYCIK,2018-01-15,3,Confirmed,3,2018
1366,LAXWP,2018-01-19,4,Confirmed,3,2018
1503,SFODR,2018-01-20,6,Confirmed,3,2018
1655,MIASS,2018-01-17,2,Cancelled,3,2018
1795,LAXWP,2018-01-20,4,Confirmed,3,2018
1931,NYCIK,2018-01-19,2,Confirmed,3,2018
2032,SFODR,2018-01-17,2,Cancelled,3,2018
2091,LAXWP,2018-01-11,3,Confirmed,2,2018
2111,NYCIK,2018-01-24,6,Confirmed,4,2018
2119,MIASS,2018-01-11,4,Confirmed,2,2018
2208,SFODR,2018-01-24,7,Confirmed,4,2018
2346,NYCIK,2018-01-18,3,Cancelled,3,2018
2486,MIASS,2018-01-24,4,Confirmed,4,2018
2532,LAXWP,2018-01-26,6,Confirmed,4,2018
2533,LAXWP,2018-01-25,1,Cancelled,4,2018
2534,LAXWP,2018-01-23,2,Confirmed,4,2018
2658,SFODR,2018-01-22,3,Cancelled,4,2018
2660,SFODR,2018-01-21,2,Confirmed,3,2018
2763,NYCIK,2018-01-23,4,Confirmed,4,2018
2764,NYCIK,2018-01-21,3,Confirmed,3,2018
2766,NYCIK,2018-01-20,1,Confirmed,3,2018
2805,MIASS,2018-01-26,2,Confirmed,4,2018
2811,LAXWP,2018-01-27,3,Confirmed,4,2018
2813,LAXWP,2018-01-24,2,Confirmed,4,2018
2895,NYCIK,2018-01-27,6,Cancelled,4,2018
2968,SFODR,2018-01-25,4,Confirmed,4,2018
2971,SFODR,2018-01-14,4,Confirmed,2,2018
3008,NYCIK,2018-01-27,3,Confirmed,4,2018
3010,NYCIK,2018-01-26,5,Cancelled,4,2018
3123,NYCIK,2018-01-26,2,Confirmed,4,2018
3125,NYCIK,2018-01-25,3,Confirmed,4,2018
