,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
57,LAXWP,2016-01-10,4,Confirmed,1,2016
83,LAXWP,2016-01-09,3,Confirmed,1,2016
93,MIASS,2016-01-11,12,Cancelled,2,2016
134,MIASS,2016-01-13,11,Confirmed,2,2016
157,NYCIK,2016-01-13,2,Confirmed,2,2016
168,LAXWP,2016-01-14,5,Confirmed,2,2016
175,MIASS,2016-01-14,17,Confirmed,2,2016
181,SFODR,2016-01-12,47,Confirmed,2,2016
189,NYCIK,2016-01-14,3,Confirmed,2,2016
258,MIASS,2016-01-10,10,Cancelled,1,2016
320,LAXWP,2016-01-12,4,Cancelled,2,2016
508,LAXWP,2016-01-13,7,Confirmed,2,2016
592,SFODR,2016-01-16,51,Confirmed,2,2016
689,MIASS,2016-01-17,16,Cancelled,2,2016
690,MIASS,2016-01-16,6,Cancelled,2,2016
691,MIASS,2016-01-15,12,Confirmed,2,2016
699,SFODR,2016-01-09,14,Confirmed,1,2016
768,MIASS,2016-01-19,13,Confirmed,3,2016
798,LAXWP,2016-01-19,8,Confirmed,3,2016
800,NYCIK,2016-01-19,3,Confirmed,3,2016
830,MIASS,2016-01-20,8,Confirmed,3,2016
840,SFODR,2016-01-10,32,Cancelled,1,2016
930,MIASS,2016-01-15,12,Cancelled,2,2016
938,SFODR,2016-01-21,28,Cancelled,3,2016
939,SFODR,2016-01-19,35,Confirmed,3,2016
941,SFODR,2016-01-14,28,Cancelled,2,2016
942,SFODR,2016-01-13,41,Cancelled,2,2016
987,LAXWP,2016-01-20,8,Confirmed,3,2016
990,NYCIK,2016-01-11,5,Confirmed,2,2016
1069,SFODR,2016-01-20,23,Cancelled,3,2016
1102,SFODR,2016-01-18,32,Cancelled,3,2016
1110,SFODR,2016-01-11,28,Confirmed,2,2016
1121,SFODR,2016-01-13,41,Confirmed,2,2016
1122,SFODR,2016-01-14,28,Confirmed,2,2016
1126,SFODR,2016-01-16,51,Cancelled,2,2016
1129,SFODR,2016-01-20,23,Confirmed,3,2016
1130,SFODR,2016-01-22,33,Confirmed,3,2016
1131,SFODR,2016-01-22,33,Cancelled,3,2016
1342,MIASS,2016-01-22,7,Confirmed,3,2016
